beta,gamma,reproduction_number,s0,i0,r0,max_infected,time_to_peak,final_removed,max_population_deviation
0.33571428571428574,0.2,1.6785714285714286,0.9359999999999999,0.064,0.0,0.13508729902152833,12.600000000000001,0.7203499194413381,6.661338147750939e-16
0.33571428571428574,0.2,1.6785714285714286,0.918,0.082,0.0,0.14665483221786857,10.600000000000001,0.7304001462229204,1.1102230246251565e-15
0.33571428571428574,0.2,1.6785714285714286,0.9,0.1,0.0,0.15845660208303,9.0,0.7399351338132929,6.661338147750939e-16
0.33571428571428574,0.25,1.342857142857143,0.99,0.01,0.0,0.043272143584351525,30.200000000000003,0.47029861146367713,5.551115123125783e-16
0.33571428571428574,0.25,1.342857142857143,0.972,0.028000000000000004,0.0,0.0569371943337102,17.400000000000002,0.5072444595315052,1.1102230246251565e-15
0.33571428571428574,0.25,1.342857142857143,0.954,0.046000000000000006,0.0,0.07085655215996046,12.0,0.5337160230955074,9.992007221626409e-16
0.33571428571428574,0.25,1.342857142857143,0.9359999999999999,0.064,0.0,0.08504097882023541,8.8,0.5564202845238382,1.1102230246251565e-15
0.33571428571428574,0.25,1.342857142857143,0.918,0.082,0.0,0.09949895242754217,6.6000000000000005,0.5767357240348031,8.881784197001252e-16
0.33571428571428574,0.25,1.342857142857143,0.9,0.1,0.0,0.11424641614965127,5.2,0.5952871127002695,8.881784197001252e-16
0.33571428571428574,0.3,1.1190476190476193,0.99,0.01,0.0,0.01485190262067794,23.400000000000002,0.2430553191926688,8.881784197001252e-16
0.33571428571428574,0.3,1.1190476190476193,0.972,0.028000000000000004,0.0,0.031248707507102298,8.4,0.31983207417427667,1.7763568394002505e-15
0.33571428571428574,0.3,1.1190476190476193,0.954,0.046000000000000006,0.0,0.04795196319913523,4.2,0.3673589344928419,1.3322676295501878e-15
0.33571428571428574,0.3,1.1190476190476193,0.9359999999999999,0.064,0.0,0.06497362587850886,2.2,0.40501878770365646,6.661338147750939e-16
0.33571428571428574,0.3,1.1190476190476193,0.918,0.082,0.0,0.0823266055178528,1.0,0.4370440973651926,8.881784197001252e-16
0.33571428571428574,0.3,1.1190476190476193,0.9,0.1,0.0,0.10002264084850496,0.2,0.4652527430445139,1.3322676295501878e-15
